,State-County,Area_Name
849,19121,Madison County
850,19123,Mahaska County
851,19125,Marion County
852,19127,Marshall County
853,19129,Mills County
854,19131,Mitchell County
855,19133,Monona County
856,19135,Monroe County
857,19137,Montgomery County
858,19139,Muscatine County
859,19141,O'Brien County
860,19143,Osceola County
861,19145,Page County
862,19147,Palo Alto County
863,19149,Plymouth County
864,19151,Pocahontas County
865,19153,Polk County
866,19155,Pottawattamie County
867,19157,Poweshiek County
868,19159,Ringgold County
869,19161,Sac County
870,19163,Scott County
871,19165,Shelby County
872,19167,Sioux County
873,19169,Story County
874,19171,Tama County
875,19173,Taylor County
876,19175,Union County
877,19177,Van Buren County
878,19179,Wapello County
879,19181,Warren County
880,19183,Washington County
881,19185,Wayne County
882,19187,Webster County
883,19189,Winnebago County
884,19191,Winneshiek County
885,19193,Woodbury County
886,19195,Worth County
887,19197,Wright County
888,20001,Allen County
889,20003,Anderson County
890,20005,Atchison County
891,20007,Barber County
892,20009,Barton County
893,20011,Bourbon County
894,20013,Brown County
895,20015,Butler County
896,20017,Chase County
897,20019,Chautauqua County
898,20021,Cherokee County
899,20023,Cheyenne County
900,20025,Clark County
901,20027,Clay County
902,20029,Cloud County
903,20031,Coffey County
904,20033,Comanche County
905,20035,Cowley County
906,20037,Crawford County
907,20039,Decatur County
908,20041,Dickinson County
909,20043,Doniphan County
910,20045,Douglas County
911,20047,Edwards County
912,20049,Elk County
913,20051,Ellis County
914,20053,Ellsworth County
915,20055,Finney County
916,20057,Ford County
917,20059,Franklin County
918,20061,Geary County
919,20063,Gove County
920,20065,Graham County
921,20067,Grant County
922,20069,Gray County
923,20071,Greeley County
924,20073,Greenwood County
925,20075,Hamilton County
926,20077,Harper County
927,20079,Harvey County
928,20081,Haskell County
929,20083,Hodgeman County
930,20085,Jackson County
931,20087,Jefferson County
932,20089,Jewell County
933,20091,Johnson County
934,20093,Kearny County
935,20095,Kingman County
936,20097,Kiowa County
937,20099,Labette County
938,20101,Lane County
939,20103,Leavenworth County
940,20105,Lincoln County
941,20107,Linn County
942,20109,Logan County
943,20111,Lyon County
944,20113,McPherson County
945,20115,Marion County
946,20117,Marshall County
947,20119,Meade County
948,20121,Miami County
949,20123,Mitchell County
950,20125,Montgomery County
951,20127,Morris County
952,20129,Morton County
953,20131,Nemaha County
954,20133,Neosho County
955,20135,Ness County
956,20137,Norton County
957,20139,Osage County
958,20141,Osborne County
959,20143,Ottawa County
960,20145,Pawnee County
961,20147,Phillips County
962,20149,Pottawatomie County
963,20151,Pratt County
964,20153,Rawlins County
965,20155,Reno County
966,20157,Republic County
967,20159,Rice County
968,20161,Riley County
969,20163,Rooks County
970,20165,Rush County
971,20167,Russell County
972,20169,Saline County
973,20171,Scott County
974,20173,Sedgwick County
975,20175,Seward County
976,20177,Shawnee County
977,20179,Sheridan County
978,20181,Sherman County
979,20183,Smith County
980,20185,Stafford County
981,20187,Stanton County
982,20189,Stevens County
983,20191,Sumner County
984,20193,Thomas County
985,20195,Trego County
986,20197,Wabaunsee County
987,20199,Wallace County
988,20201,Washington County
989,20203,Wichita County
990,20205,Wilson County
991,20207,Woodson County
992,20209,Wyandotte County
993,21001,Adair County
994,21003,Allen County
995,21005,Anderson County
996,21007,Ballard County
997,21009,Barren County
998,21011,Bath County
999,21013,Bell County
1000,21015,Boone County
1001,21017,Bourbon County
1002,21019,Boyd County
1003,21021,Boyle County
1004,21023,Bracken County
1005,21025,Breathitt County
1006,21027,Breckinridge County
1007,21029,Bullitt County
1008,21031,Butler County
1009,21033,Caldwell County
1010,21035,Calloway County
1011,21037,Campbell County
1012,21039,Carlisle County
1013,21041,Carroll County
1014,21043,Carter County
1015,21045,Casey County
1016,21047,Christian County
1017,21049,Clark County
1018,21051,Clay County
1019,21053,Clinton County
1020,21055,Crittenden County
1021,21057,Cumberland County
1022,21059,Daviess County
1023,21061,Edmonson County
1024,21063,Elliott County
1025,21065,Estill County
1026,21067,Fayette County
1027,21069,Fleming County
1028,21071,Floyd County
1029,21073,Franklin County
1030,21075,Fulton County
1031,21077,Gallatin County
1032,21079,Garrard County
1033,21081,Grant County
1034,21083,Graves County
1035,21085,Grayson County
1036,21087,Green County
1037,21089,Greenup County
1038,21091,Hancock County
1039,21093,Hardin County
1040,21095,Harlan County
1041,21097,Harrison County
1042,21099,Hart County
1043,21101,Henderson County
1044,21103,Henry County
1045,21105,Hickman County
1046,21107,Hopkins County
1047,21109,Jackson County
1048,21111,Jefferson County
1049,21113,Jessamine County
1050,21115,Johnson County
1051,21117,Kenton County
1052,21119,Knott County
1053,21121,Knox County
1054,21123,Larue County
1055,21125,Laurel County
1056,21127,Lawrence County
1057,21129,Lee County
1058,21131,Leslie County
1059,21133,Letcher County
1060,21135,Lewis County
1061,21137,Lincoln County
1062,21139,Livingston County
1063,21141,Logan County
1064,21143,Lyon County
1065,21145,McCracken County
1066,21147,McCreary County
1067,21149,McLean County
1068,21151,Madison County
1069,21153,Magoffin County
1070,21155,Marion County
1071,21157,Marshall County
1072,21159,Martin County
1073,21161,Mason County
1074,21163,Meade County
1075,21165,Menifee County
1076,21167,Mercer County
1077,21169,Metcalfe County
1078,21171,Monroe County
1079,21173,Montgomery County
1080,21175,Morgan County
1081,21177,Muhlenberg County
1082,21179,Nelson County
1083,21181,Nicholas County
1084,21183,Ohio County
1085,21185,Oldham County
1086,21187,Owen County
1087,21189,Owsley County
1088,21191,Pendleton County
1089,21193,Perry County
1090,21195,Pike County
1091,21197,Powell County
1092,21199,Pulaski County
1093,21201,Robertson County
1094,21203,Rockcastle County
1095,21205,Rowan County
1096,21207,Russell County
1097,21209,Scott County
1098,21211,Shelby County
1099,21213,Simpson County
1100,21215,Spencer County
1101,21217,Taylor County
1102,21219,Todd County
1103,21221,Trigg County
1104,21223,Trimble County
1105,21225,Union County
1106,21227,Warren County
1107,21229,Washington County
1108,21231,Wayne County
1109,21233,Webster County
1110,21235,Whitley County
1111,21237,Wolfe County
1112,21239,Woodford County
1113,22001,Acadia Parish
1114,22003,Allen Parish
1115,22005,Ascension Parish
1116,22007,Assumption Parish
1117,22009,Avoyelles Parish
1118,22011,Beauregard Parish
1119,22013,Bienville Parish
1120,22015,Bossier Parish
1121,22017,Caddo Parish
1122,22019,Calcasieu Parish
1123,22021,Caldwell Parish
1124,22023,Cameron Parish
1125,22025,Catahoula Parish
1126,22027,Claiborne Parish
1127,22029,Concordia Parish
1128,22031,De Soto Parish
1129,22033,East Baton Rouge Parish
1130,22035,East Carroll Parish
1131,22037,East Feliciana Parish
1132,22039,Evangeline Parish
1133,22041,Franklin Parish
1134,22043,Grant Parish
1135,22045,Iberia Parish
1136,22047,Iberville Parish
1137,22049,Jackson Parish
1138,22051,Jefferson Parish
1139,22053,Jefferson Davis Parish
1140,22055,Lafayette Parish
1141,22057,Lafourche Parish
1142,22059,LaSalle Parish
1143,22061,Lincoln Parish
1144,22063,Livingston Parish
1145,22065,Madison Parish
1146,22067,Morehouse Parish
1147,22069,Natchitoches Parish
1148,22071,Orleans Parish
1149,22073,Ouachita Parish
1150,22075,Plaquemines Parish
1151,22077,Pointe Coupee Parish
1152,22079,Rapides Parish
1153,22081,Red River Parish
1154,22083,Richland Parish
1155,22085,Sabine Parish
1156,22087,St. Bernard Parish
1157,22089,St. Charles Parish
1158,22091,St. Helena Parish
1159,22093,St. James Parish
1160,22095,St. John the Baptist Parish
1161,22097,St. Landry Parish
1162,22099,St. Martin Parish
1163,22101,St. Mary Parish
1164,22103,St. Tammany Parish
1165,22105,Tangipahoa Parish
1166,22107,Tensas Parish
1167,22109,Terrebonne Parish
1168,22111,Union Parish
1169,22113,Vermilion Parish
1170,22115,Vernon Parish
1171,22117,Washington Parish
1172,22119,Webster Parish
1173,22121,West Baton Rouge Parish
1174,22123,West Carroll Parish
1175,22125,West Feliciana Parish
1176,22127,Winn Parish
1177,23001,Androscoggin County
1178,23003,Aroostook County
1179,23005,Cumberland County
1180,23007,Franklin County
1181,23009,Hancock County
1182,23011,Kennebec County
1183,23013,Knox County
1184,23015,Lincoln County
1185,23017,Oxford County
1186,23019,Penobscot County
1187,23021,Piscataquis County
1188,23023,Sagadahoc County
1189,23025,Somerset County
1190,23027,Waldo County
1191,23029,Washington County
1192,23031,York County
1193,24001,Allegany County
1194,24003,Anne Arundel County
1195,24005,Baltimore County
1196,24009,Calvert County
1197,24011,Caroline County
1198,24013,Carroll County
1199,24015,Cecil County
1200,24017,Charles County
1201,24019,Dorchester County
1202,24021,Frederick County
1203,24023,Garrett County
1204,24025,Harford County
1205,24027,Howard County
1206,24029,Kent County
1207,24031,Montgomery County
1208,24033,Prince George's County
1209,24035,Queen Anne's County
1210,24037,St. Mary's County
1211,24039,Somerset County
1212,24041,Talbot County
1213,24043,Washington County
